osm_id,code,fclass,name,latitude,longitude
"6280939480","5621",bus_stop,Ighraiss 3,30.204,-9.409
"6280939481","5621",bus_stop,Ighraiss 3,30.204,-9.409
"6280939482","5621",bus_stop,Ighraiss 2,30.202,-9.413
"6280939483","5621",bus_stop,Ighraiss 2,30.203,-9.413
"6280939484","5621",bus_stop,Ighraiss 1,30.199,-9.423
"6280941585","5621",bus_stop,Ighraiss 1,30.199,-9.423
"6280941586","5621",bus_stop,Rejaila - Saka,30.196,-9.432
"6280941587","5621",bus_stop,Rejaila - Saka,30.196,-9.432
"6280941588","5621",bus_stop,Rejaila,30.194,-9.438
"6280941589","5621",bus_stop,Rejaila,30.194,-9.438
"6280941590","5621",bus_stop,Toug Rih,30.192,-9.444
"6280941591","5621",bus_stop,Toug Rih,30.192,-9.444
"6280941592","5621",bus_stop,Pepiniere NABATAT,30.189,-9.451
"6280941593","5621",bus_stop,Pepiniere NABATAT,30.189,-9.450
"6280941594","5621",bus_stop,Douar Hida 2,30.181,-9.468
"6280941595","5621",bus_stop,Douar Hida 1,30.179,-9.470
"6280941596","5621",bus_stop,Douar Hida 1,30.179,-9.470
"6280941597","5621",bus_stop,Visite Technique,30.177,-9.475
"6280941598","5621",bus_stop,Visite Technique,30.177,-9.475
"6280941599","5621",bus_stop,Douar Agouram,30.177,-9.477
"6280941600","5621",bus_stop,Douar Agouram,30.177,-9.477
"6280941601","5621",bus_stop,Station Petrom 2,30.177,-9.484
"6280941602","5621",bus_stop,Station Petrom 2,30.177,-9.484
"6280941603","5621",bus_stop,Ait Amira - Poste Brigade,30.177,-9.488
"6280941604","5621",bus_stop,Ait Amira - Poste Brigade,30.177,-9.487
"6280941605","5621",bus_stop,Lakhmiss Centre,30.176,-9.491
"6280941606","5621",bus_stop,Souk Lakhmiss 2,30.177,-9.496
"6280941607","5621",bus_stop,Souk Lakhmiss 2,30.177,-9.496
"6280941608","5621",bus_stop,Souk Lakhmiss 1,30.177,-9.498
"6280941609","5621",bus_stop,Souk Lakhmiss 1,30.177,-9.498
